FacilityFloorId,fkFacilityBuildingId,FacilityFloorEstatesFloorCode,FacilityFloorName,FacilityFloorDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,1,01,01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
2,1,02,02,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
3,1,03,03,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
4,1,04,04,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
5,1,0B,0B,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
6,1,0G,0G,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
7,2,01,01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
8,2,02,02,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
9,2,03,03,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
10,2,04,04,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
11,2,05,05,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
12,2,06,06,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
13,2,07,07,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
14,2,08,08,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
15,2,09,09,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
16,2,0B,0B,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
17,2,0G,0G,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
18,2,10,10,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
19,2,11,11,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
20,2,12,12,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
21,2,GM,GM,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
22,3,01,01,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 11:40:42.393,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:30.730
