FacilitySpaceTypeId,FacilitySpaceTypeEstatesTypeCode,FacilitySpaceTypeName,FacilitySpaceTypeDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,01,LOBBY,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
2,02,STAIRWELL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
3,03,CORRIDOR,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
4,04,LIFT SHAFT,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
5,06,PLANT ROOM,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
6,08,SERVICE DUCT,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
7,09,LPGCOMPOUND,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
8,17,STORE,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
9,20,CLEANER'S STORE,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
10,22,VACANT AREA,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 10:16:37.713,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:29.327
