FacilitySpaceId,fkFacilitySpaceTypeId,fkFacilityRoomId,fkFacilityOrganisationalUnitId,FacilitySpaceEstatesSpaceCode,FacilitySpaceName,FacilitySpaceDescription,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,21,211,1,3400101017,3400101017,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
2,22,212,1,3400101018,3400101018,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
3,38,216,1,3400101022,3400101022,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
4,38,217,1,3400101023,3400101023,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
5,64,218,1,3400101024,3400101024,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
6,37,220,1,3400101026,3400101026,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
7,30,221,1,3400101027,3400101027,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
8,64,250,1,3400102015,3400102015,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
9,50,253,1,3400102018,3400102018,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
10,53,254,1,3400102019,3400102019,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
11,47,269,1,3400103005,3400103005,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
12,47,270,1,3400103006,3400103006,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
13,64,273,1,3400103009,3400103009,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
14,64,279,1,3400103015,3400103015,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
15,53,282,1,3400103018,3400103018,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
16,64,283,1,3400103019,3400103019,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
17,53,284,1,3400103020,3400103020,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
18,53,285,1,3400103021,3400103021,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
19,53,290,1,3400103026,3400103026,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
20,53,291,1,3400103027,3400103027,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
21,53,292,1,3400103028,3400103028,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
22,53,308,1,3400104012,3400104012,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
23,63,309,1,3400104013,3400104013,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
24,52,310,1,3400104014,3400104014,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
25,61,311,1,3400104015,3400104015,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
26,64,312,1,3400104016,3400104016,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
27,64,313,1,3400104017,3400104017,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
28,31,314,1,3400104018,3400104018,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
29,53,316,1,3400104020,3400104020,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
30,53,317,1,3400104021,3400104021,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
31,61,318,1,3400104022,3400104022,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
32,46,319,1,3400104023,3400104023,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
33,62,320,1,3400104024,3400104024,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
34,61,321,1,3400104025,3400104025,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
35,24,324,1,3400104028,3400104028,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
36,27,325,1,3400104029,3400104029,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
37,47,335,1,3400105005,3400105005,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
38,47,336,1,3400105006,3400105006,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
39,37,341,1,3400105010,3400105010,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-07 14:01:25.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2018-01-08 10:04:32.980
