OrganisationId,fkOrganisationTypeId,fkParentOrganisationId,OrganisationName,OrganisationDescription,OrganisationAbbreviation,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1,1,NULL,Queen's University Belfast,NULL,QUB,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
2,2,1,"Faculty of Arts, Humanities and Social Sciences",NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
3,2,1,Faculty of Engineering and Physical Sciences,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
4,2,1,"Faculty of Medicine, Health and Life Sciences",NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
5,4,2,"School of Arts, English and Languages",NULL,SAEL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
6,4,2,"School of History, Anthropology, Philosophy and Politics",NULL,SHAPP,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
7,4,2,School of Law,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
8,4,2,"School of Social Sciences, Education and Social Work",NULL,SSSESW,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
9,4,2,Queen's Management School,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
10,4,2,"The Senator George J. Mitchell Institute for Global Peace, Security and Justice",NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
11,4,2,Institute of Irish Studies,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
13,4,3,School of Chemistry and Chemical Engineering,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
14,4,3,"School of Electronics, Electrical Engineering and Computer Science",NULL,SEECS,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
15,4,3,School of Mathematics and Physics,NULL,SMP,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
16,4,3,School of Mechanical and Aerospace Engineering,NULL,SMAE,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
17,4,3,School of Natural and Built Environment,NULL,SNBE,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
18,4,3,School of Psychology,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
19,4,4,School of Biological Sciences,NULL,SBS,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
20,4,4,"School of Medicine, Dentistry and Biomedical Sciences",NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
21,4,4,School of Nursing and Midwifery,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
22,4,4,School of Pharmacy,NULL,NULL,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-10-05 00:00:00.000
