WeatherReadingId,WeatherReadingWoeId,WeatherReadingDateTime,WeatherConditionMeasurementUnitsTemperature,WeatherConditionMeasurementUnitsDistance,WeatherConditionMeasurementUnitsPressure,WeatherConditionMeasurementUnitsSpeed,WeatherConditionText,WeatherConditionCode,WeatherConditionTemp,WeatherConditionDate,WeatherConditionWindChill,WeatherConditionWindDirection,WeatherConditionWindSpeed,WeatherConditionAtmosphereHumidity,WeatherConditionAtmosphereVisibility,WeatherConditionAtmospherePressure,WeatherConditionAtmosphereRising,WeatherConditionAstronomySunrise,WeatherConditionAstronomySunset,WeatherForecast0Low,WeatherForecast0High,WeatherForecast0Code,WeatherForecast1Low,WeatherForecast1High,WeatherForecast1Code,WeatherForecast2Low,WeatherForecast2High,WeatherForecast2Code,WeatherForecast3Low,WeatherForecast3High,WeatherForecast3Code,WeatherForecast4Low,WeatherForecast4High,WeatherForecast4Code,WeatherForecast5Low,WeatherForecast5High,WeatherForecast5Code,WeatherForecast6Low,WeatherForecast6High,WeatherForecast6Code,WeatherForecast7Low,WeatherForecast7High,WeatherForecast7Code,WeatherForecast8Low,WeatherForecast8High,WeatherForecast8Code,WeatherForecast9Low,WeatherForecast9High,WeatherForecast9Code,Enabled,CreatedByUserId,CreatedDateTime,LastModifiedByUserId,LastModifiedDateTime
1545D0F7-2D1A-4304-97A6-00BA1589766E,26382658,2017-11-28 10:13:34.323,F,mi,in,mph,Partly Cloudy,30,40,"Tue, 28 Nov 2017 09:",34,330,14,78,16.1000003814697,1000,0,8:17 am,4:6 pm,37,45,12,35,41,30,33,41,28,33,44,28,40,46,28,42,47,28,42,46,28,39,44,28,39,43,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.427,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.427
78FCC6D8-9DF0-4F63-B623-0E9A38469B44,26706745,2017-12-19 14:25:12.350,F,mi,in,mph,Cloudy,26,52,"Tue, 19 Dec 2017 01:",50,215,14,92,14.8000001907349,1018,0,8:43 am,3:59 pm,45,52,26,47,53,26,42,47,26,44,48,26,46,52,26,46,50,12,39,46,39,37,41,28,38,41,5,38,41,39,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.563,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.563
11AB266F-225F-4211-A5F7-1A888499C400,26382658,2017-12-19 14:25:12.000,F,mi,in,mph,Cloudy,26,52,"Tue, 19 Dec 2017 01:",48,215,14,93,14.3000001907349,1018,0,8:43 am,3:59 pm,45,52,26,47,53,26,42,47,26,44,48,26,46,52,26,46,50,12,39,46,39,37,41,28,38,41,5,38,41,39,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.167,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.167
A8BBA2C8-2D43-4A60-942A-2A523B57D74B,26511403,2017-11-24 16:10:23.740,F,mi,in,mph,Mostly Cloudy,28,38,"Fri, 24 Nov 2017 03:",32,245,14,90,15.6999998092651,998,0,8:10 am,4:10 pm,34,42,5,35,42,28,36,44,39,40,45,39,38,43,30,37,42,30,37,43,30,37,44,30,37,45,28,39,46,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.853,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.853
2B347BCE-138D-49FF-A028-38876A069690,27010405,2017-12-19 14:25:12.567,F,mi,in,mph,Cloudy,26,52,"Tue, 19 Dec 2017 01:",50,215,14,92,14.8000001907349,1018,0,8:43 am,3:59 pm,45,52,26,47,53,26,42,47,26,44,48,26,46,52,26,46,50,12,39,46,39,37,41,28,38,41,5,38,41,39,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.730,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:12.730
080BE1DD-49C1-4DB9-9734-3AF33F65FD6E,26362573,2017-12-19 14:25:10.833,F,mi,in,mph,Cloudy,26,52,"Tue, 19 Dec 2017 01:",48,215,14,93,14.3000001907349,1018,0,8:43 am,3:59 pm,45,52,26,47,53,26,42,47,26,44,48,26,46,52,26,46,50,12,39,46,39,37,41,28,38,41,5,38,41,39,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:11.787,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:11.787
7D286CB2-1A68-4DB6-BCAB-4049710816A2,26706745,2017-11-24 16:10:23.857,F,mi,in,mph,Mostly Cloudy,28,38,"Fri, 24 Nov 2017 03:",32,245,14,89,15.6999998092651,997,0,8:10 am,4:10 pm,33,42,5,34,40,28,35,44,39,40,45,39,37,43,30,37,43,30,36,43,30,37,44,30,36,45,28,39,45,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.963,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-24 16:10:23.963
B47F55F6-284F-4810-BE62-451B1B74634A,26382658,2017-12-13 10:32:03.060,F,mi,in,mph,Showers,11,41,"Wed, 13 Dec 2017 09:",36,240,14,95,11.1000003814697,978,0,8:38 am,3:58 pm,34,42,12,34,39,28,33,41,34,31,38,30,33,43,12,34,45,26,43,49,26,43,46,28,43,47,26,45,48,23,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.157,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-13 10:32:03.157
FA3D50F3-80E1-42ED-857D-476E08203D01,26511403,2017-11-28 10:13:34.430,F,mi,in,mph,Partly Cloudy,30,41,"Tue, 28 Nov 2017 09:",36,325,14,78,16.1000003814697,1001,0,8:17 am,4:6 pm,38,47,11,35,42,30,34,41,28,33,44,28,41,47,28,42,47,28,41,45,28,41,45,28,38,42,28,38,43,28,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.530,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-11-28 10:13:34.530
31C8433A-87FB-4F4F-86F2-5C121EB37DC1,26375205,2017-12-19 14:25:11.810,F,mi,in,mph,Cloudy,26,52,"Tue, 19 Dec 2017 01:",48,215,14,93,14.3000001907349,1018,0,8:43 am,3:59 pm,45,52,26,47,53,26,42,47,26,44,48,26,46,52,26,46,50,12,39,46,39,37,41,28,38,41,5,38,41,39,1,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:11.997,B58E48E6-F5CA-4C90-B13E-493E46680C87,2017-12-19 14:25:11.997
